RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200717-46231,1,-0.7086,-0.0458,0.0,0.0,0.332652495972784,-0.05412727272727273,0.0,0.0,0.36100765816835295,-0.5994
20200731-34752,-1,-0.3506,-0.09077826086956521,0.0,0.0,0.2962158143277381,-0.11037999999999999,0.0,0.0,0.37535566102919865,0.5106
20200827-76716,1,0.6808,0.06700833333333334,0.0,0.0,0.19009760851701657,0.1005125,0.0,0.0,0.22547297752446965,0.5106
20200729-96110,-1,0.9936,0.033729473684210524,0.0,0.0,0.36320934252813897,0.07611842105263157,0.0,0.0,0.5317357217815628,-0.4019
20200720-16429,1,0.9445,0.027130303030303032,0.0,0.0,0.37259477011639597,0.05987368421052632,0.0,0.0,0.4707916723787321,0.0
20200327-13519,1,0.9779,0.1964111111111111,0.15175,0.0,0.3155804104061258,0.20379999999999998,0.0772,0.0,0.3324511233426121,0.5106
20200323-1828,1,-0.5041,-0.03045,0.0,0.0,0.3384592089696536,-0.5041,-0.5041,-0.5041,0.0,-1.0082
20200327-23657,-1,-0.9596,-0.07753235294117647,0.0,0.0,0.42265653885352367,-0.06928,0.0,0.0,0.4999484781454985,0.5106
20200510-24981,1,0.9982,0.3027682926829268,0.34,0.0,0.31751558090367354,0.5992083333333333,0.8115,0.0,0.37732750023097383,0.0
20200814-55839,-1,-0.0905,-0.007792857142857141,0.0,0.0,0.3026335434409845,0.000632142857142856,0.0,0.0,0.36828610680670093,0.5106
20200211-12801,-1,-0.8938,-0.005502857142857144,0.0,0.0,0.3193832650466156,-0.015608333333333335,0.0,0.0,0.3628660185668473,0.09719999999999995
20200804-75484,-1,-0.576,-0.059611111111111115,0.0,0.0,0.27552221303652313,-0.08941666666666667,0.0,0.0,0.33347206987825667,0.0
20200724-14873,0,0.9846,0.015125714285714286,0.0,0.0,0.3253442092332867,0.03072352941176471,0.0,0.0,0.437613794316151,0.7908000000000001
20200812-6493,-1,0.886,0.04495833333333333,0.0,-0.0,0.41207518015190164,0.064225,0.0,0.0,0.3022355569336606,-0.128
20200326-18643,1,0.8169,0.023398148148148147,0.0,0.0,0.39743847438628355,0.060224999999999994,0.0129,0.0,0.4690432800303898,0.5574
20200731-40316,-1,0.7931,0.022863888888888892,0.0,0.0,0.24593098529734106,0.030904761904761907,0.0,0.0,0.3339073345593989,0.5106
20200505-87539,-1,-0.7184,-0.03520454545454545,0.0,0.0,0.44446131693553054,-0.05475499999999999,0.0,0.0,0.46543365421400285,0.5106
20200723-21130,-1,0.9989,0.07844265734265735,0.0,0.0,0.31696315584995854,0.0630575,0.0,0.0,0.3092447690644904,0.11309999999999998
